flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-31,scheduled,,,Moron,Asia/Ulaanbaatar,MXV,ZMMN,,,,2026-07-31T14:20:00+00:00,2026-07-31T14:20:00+00:00,,,,New Ulaanbaator International Airport,,UBN,ZMCK,,,,2026-07-31T15:50:00+00:00,,,,,,Skypower Express Airways,NV,EAN,7118,NV7118,EAN7118,,,,,,,,,,,
2026-07-31,scheduled,,,Khovd,Asia/Hovd,HVD,ZMKD,,,,2026-07-31T11:40:00+00:00,2026-07-31T11:40:00+00:00,,,,New Ulaanbaator International Airport,,UBN,ZMCK,,,,2026-07-31T15:35:00+00:00,,,,,,MIAT Mongolian Airlines,OM,MGL,32,OM32,MGL32,,,,,,,,,,,
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T14:35:00+00:00,2026-07-31T14:35:00+00:00,,,,"Gannan Xiahe Airport
",,GXH,ZLXH,,,,2026-07-31T15:55:00+00:00,,,,,,China Eastern Airlines,MU,CES,3221,MU3221,CES3221,,sichuan airlines,3u,csc,6359,3u6359,csc6359,,,,7811AE
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T14:35:00+00:00,2026-07-31T14:35:00+00:00,,,,"Gannan Xiahe Airport
",,GXH,ZLXH,,,,2026-07-31T15:55:00+00:00,,,,,,Xiamen Air,MF,CXA,4639,MF4639,CXA4639,,sichuan airlines,3u,csc,6359,3u6359,csc6359,,,,7811AE
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T14:35:00+00:00,2026-07-31T14:35:00+00:00,,,,"Gannan Xiahe Airport
",,GXH,ZLXH,,,,2026-07-31T15:55:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4751,CZ4751,CSN4751,,sichuan airlines,3u,csc,6359,3u6359,csc6359,,,,7811AE
2026-07-31,scheduled,,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-07-31T11:00:00+00:00,2026-07-31T11:00:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,1,,06,2026-07-31T12:45:00+00:00,,,,,,Wizz Air,W4,WMT,3935,W43935,WMT3935,,,,,,,,,,,471F66
2026-07-31,scheduled,,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-07-31T10:30:00+00:00,2026-07-31T10:30:00+00:00,,,,Tivat,Europe/Podgorica,TIV,LYTV,,,,2026-07-31T11:20:00+00:00,15.0,,,,,Go2Sky,4V,SQY,5781,4V5781,SQY5781,,,,,,,,,,,505CEA
2026-07-31,scheduled,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-07-31T14:45:00+00:00,2026-07-31T14:45:00+00:00,,,,Sihanoukville,Asia/Phnom_Penh,KOS,VDSV,,,,2026-07-31T16:00:00+00:00,,,,,,Cambodia Airways,KR,KME,804,KR804,KME804,,,,,,,,,,,
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Qingdao,Asia/Shanghai,TAO,ZSQD,1,,14,2026-07-31T18:50:00+00:00,,,,,,Lucky Air,8L,LKE,9709,8L9709,LKE9709,,,,,,,,,,,780E32
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,1,,103,2026-07-31T18:20:00+00:00,,,,,,Sichuan Airlines,3U,CSC,6913,3U6913,CSC6913,,,,,,,,,,,781698
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,11,2026-07-31T18:55:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,9546,ZH9546,CSZ9546,,,,,,,,,,,780F76
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,67,2026-07-31T18:35:00+00:00,,,,,,China Eastern Airlines,MU,CES,6185,MU6185,CES6185,,,,,,,,,,,780612
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,1,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-07-31T18:10:00+00:00,,,,,,China Eastern Airlines,MU,CES,5035,MU5035,CES5035,,,,,,,,,,,780558
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Haikou,Asia/Shanghai,HAK,ZJHK,2,,9,2026-07-31T18:20:00+00:00,,,,,,Hainan Airlines,HU,CHH,7086,HU7086,CHH7086,,,,,,,,,,,780657
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,,,,2026-07-31T18:25:00+00:00,,,,,,Air China,CA,CCA,2707,CA2707,CCA2707,,,,,,,,,,,
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:05:00+00:00,2026-07-31T16:05:00+00:00,,,,Kuqa,Asia/Shanghai,KCA,ZWKC,,,,2026-07-31T20:15:00+00:00,,,,,,Air China,CA,CCA,2519,CA2519,CCA2519,,,,,,,,,,,781DD8
2026-07-31,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-31T16:00:00+00:00,2026-07-31T16:00:00+00:00,,,,Hailar,Asia/Shanghai,HLD,ZBLA,T2,,,2026-07-31T19:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,6855,3U6855,CSC6855,,,,,,,,,,,
