flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-06-14,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F37,,2026-06-14T13:50:00+00:00,2026-06-14T13:50:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T15:10:00+00:00,,,,,,Virgin Australia,VA,VOZ,5484,VA5484,VOZ5484,singapore airlines,sq,sia,166,sq166,sia166,,,,,
2026-06-14,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F37,,2026-06-14T13:50:00+00:00,2026-06-14T13:50:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T15:10:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3486,NZ3486,ANZ3486,singapore airlines,sq,sia,166,sq166,sia166,,,,,
2026-06-14,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F37,,2026-06-14T13:50:00+00:00,2026-06-14T13:50:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T15:10:00+00:00,,,,,,Air India,AI,AIC,8252,AI8252,AIC8252,singapore airlines,sq,sia,166,sq166,sia166,,,,,
2026-06-14,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F37,,2026-06-14T13:50:00+00:00,2026-06-14T13:50:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T15:10:00+00:00,,,,,,Air France,AF,AFR,7242,AF7242,AFR7242,singapore airlines,sq,sia,166,sq166,sia166,,,,,
2026-06-14,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-06-14T16:10:00+00:00,2026-06-14T16:10:00+00:00,,,,New Ulaanbaator International Airport,,UBN,ZMCK,,,,2026-06-14T17:05:00+00:00,,,,,,IrAero,IO,IAE,232,IO232,IAE232,,,,,,,,,,,
2026-06-14,scheduled,,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-06-14T12:05:00+00:00,2026-06-14T12:05:00+00:00,,,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,2,,40,2026-06-14T14:40:00+00:00,,,,,,Wizz Air,W6,WZZ,3937,W63937,WZZ3937,,,,,,,,,,,471F3E
2026-06-14,scheduled,,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-06-14T07:15:00+00:00,2026-06-14T07:15:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-06-14T09:14:00+00:00,,,,,,Turkish Airlines,TK,THY,3263,TK3263,THY3263,,,,,,,,,,,4BAB30
2026-06-14,scheduled,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T16:00:00+00:00,2026-06-14T16:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-14T19:25:00+00:00,,,,,,Singapore Airlines,SQ,SIA,165,SQ165,SIA165,,,,,,,,,,,
2026-06-14,scheduled,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T16:00:00+00:00,2026-06-14T16:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-14T19:25:00+00:00,,,,,,Virgin Australia,VA,VOZ,5483,VA5483,VOZ5483,singapore airlines,sq,sia,165,sq165,sia165,,,,,
2026-06-14,scheduled,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T16:00:00+00:00,2026-06-14T16:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-14T19:25:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3485,NZ3485,ANZ3485,singapore airlines,sq,sia,165,sq165,sia165,,,,,
2026-06-14,scheduled,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-14T16:00:00+00:00,2026-06-14T16:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-14T19:25:00+00:00,,,,,,Air India,AI,AIC,8251,AI8251,AIC8251,singapore airlines,sq,sia,165,sq165,sia165,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:05:00+00:00,2026-06-14T17:05:00+00:00,,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,,2026-06-14T18:40:00+00:00,,,,,,Air China,CA,CCA,8294,CA8294,CCA8294,,,,,,,,,,,780694
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:05:00+00:00,2026-06-14T17:05:00+00:00,,,,Beihai,Asia/Shanghai,BHY,ZGBH,,,,2026-06-14T18:55:00+00:00,,,,,,Jiangxi Air,RY,CJX,6695,RY6695,CJX6695,,,,,,,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:05:00+00:00,2026-06-14T17:05:00+00:00,,,,Shanghai,Asia/Shanghai,HFE,ZSOF,,,,2026-06-14T19:15:00+00:00,,,,,,China Eastern Airlines,MU,CES,6695,MU6695,CES6695,,,,,,,,,,,780601
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,1,,,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,,,,Sheremetyevo International,Europe/Moscow,SVO,UUEE,C,,,2026-06-14T20:20:00+00:00,,,,,,Sichuan Airlines,3U,CSC,3887,3U3887,CSC3887,,,,,,,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-14T18:20:00+00:00,,,,,,Capital Airlines,JD,CBJ,5116,JD5116,CBJ5116,,,,,,,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,G,,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,,,,,,URC,ZWWW,3,,,2026-06-14T20:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,6946,CZ6946,CSN6946,,,,,,,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,,35,2026-06-14T19:50:00+00:00,,,,,,Air China,CA,CCA,4535,CA4535,CCA4535,,,,,,,,,,,780782
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,,,,Shiyan Wudangshan Airport,,WDS,ZHSY,,,,2026-06-14T18:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,6773,3U6773,CSC6773,,,,,,,,,,,78075D
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:55:00+00:00,2026-06-14T16:55:00+00:00,,,,,,URC,ZWWW,2,,,2026-06-14T20:40:00+00:00,,,,,,Spring Airlines,9C,CQH,7333,9C7333,CQH7333,,,,,,,,,,,
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:55:00+00:00,2026-06-14T16:55:00+00:00,,,,Jinan,Asia/Shanghai,TNA,ZSJN,,,,2026-06-14T19:10:00+00:00,,,,,,Shandong Airlines,SC,CDG,8726,SC8726,CDG8726,,,,,,,,,,,781FDB
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:55:00+00:00,2026-06-14T16:55:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-06-14T19:35:00+00:00,,,,,,Colorful Guizhou Airlines,GY,CGZ,7213,GY7213,CGZ7213,,,,,,,,,,,781E15
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:55:00+00:00,2026-06-14T16:55:00+00:00,,,,Yiwu,Asia/Shanghai,YIW,ZSYW,,,,2026-06-14T19:30:00+00:00,,,,,,Air China,CA,CCA,2767,CA2767,CCA2767,,,,,,,,,,,780278
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:40:00+00:00,2026-06-14T16:40:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,9,2026-06-14T19:05:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,9566,ZH9566,CSZ9566,,,,,,,,,,,78056D
2026-06-14,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-14T16:40:00+00:00,2026-06-14T16:40:00+00:00,,,,Changzhou,Asia/Shanghai,CZX,ZSCG,,,,2026-06-14T18:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,2936,MU2936,CES2936,,,,,,,,,,,780E3E
