flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-18,scheduled,,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-07-18T02:00:00+00:00,2026-07-18T02:00:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,287,,2026-07-18T05:50:00+00:00,,,,,,Air Seoul,RS,ASV,102,RS102,ASV102,,,,,,,,,,,
2026-07-18,scheduled,,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-07-18T02:00:00+00:00,2026-07-18T02:00:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,252,,2026-07-18T05:40:00+00:00,10.0,,,,,Korean Air,KE,KAL,418,KE418,KAL418,,,,,,,,,,,
2026-07-18,scheduled,,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-07-18T02:00:00+00:00,2026-07-18T02:00:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,252,,2026-07-18T05:40:00+00:00,10.0,,,,,Delta Air Lines,DL,DAL,7830,DL7830,DAL7830,,korean air,ke,kal,418,ke418,kal418,,,,
2026-07-18,scheduled,,,Geraldton,Australia/Perth,GET,YGEL,,,,2026-07-18T00:00:00+00:00,2026-07-18T00:00:00+00:00,,,,Kalgoorlie,Australia/Perth,KGI,YPKG,,,,2026-07-18T02:07:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,7C63A9
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,Qantas,QF,QFA,843,QF843,QFA843,,,,,,,,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,Fiji Airways,FJ,FJI,5278,FJ5278,FJI5278,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,Japan Airlines,JL,JTL,4806,JL4806,JTL4806,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,AlphaSky,AS,JAG,5162,AS5162,JAG5162,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,China Eastern Airlines,MU,CES,4123,MU4123,CES4123,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,American Airlines,AA,AAL,7300,AA7300,AAL7300,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,Fiji Airways,FJ,FJI,5290,FJ5290,FJI5290,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,5,,2026-07-18T01:35:00+00:00,2026-07-18T01:35:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,8,Q5,2026-07-18T06:25:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7843,NZ7843,ANZ7843,,qantas,qf,qfa,843,qf843,qfa843,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:30:00+00:00,2026-07-18T01:30:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,43,,2026-07-18T05:50:00+00:00,,,,,,Virgin Australia,VA,VOZ,446,VA446,VOZ446,,,,,,,,,,,7CAD46
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:30:00+00:00,2026-07-18T01:30:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,43,,2026-07-18T05:50:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6601,SQ6601,SIA6601,,virgin australia,va,voz,446,va446,voz446,,,,7CAD46
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:30:00+00:00,2026-07-18T01:30:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,43,,2026-07-18T05:50:00+00:00,,,,,,Air Niugini,PX,ANG,3306,PX3306,ANG3306,,virgin australia,va,voz,446,va446,voz446,,,,7CAD46
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:30:00+00:00,2026-07-18T01:30:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,43,,2026-07-18T05:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,1088,CZ1088,CSN1088,,virgin australia,va,voz,446,va446,voz446,,,,7CAD46
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:15:00+00:00,2026-07-18T01:15:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,A56,D4,2026-07-18T06:10:00+00:00,,,,,,Jetstar,JQ,JST,671,JQ671,JST671,,,,,,,,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:15:00+00:00,2026-07-18T01:15:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,A56,D4,2026-07-18T06:10:00+00:00,,,,,,Qantas,QF,QFA,5671,QF5671,QFA5671,,jetstar,jq,jst,671,jq671,jst671,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T01:15:00+00:00,2026-07-18T01:15:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,A56,D4,2026-07-18T06:10:00+00:00,,,,,,IndiGo,6E,IGO,4417,6E4417,IGO4417,,jetstar,jq,jst,671,jq671,jst671,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,9,,2026-07-18T01:10:00+00:00,2026-07-18T01:10:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-07-18T05:25:00+00:00,,,,,,Qantas,QF,QFA,827,QF827,QFA827,,,,,,,,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,9,,2026-07-18T01:10:00+00:00,2026-07-18T01:10:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-07-18T05:25:00+00:00,,,,,,American Airlines,AA,AAL,7344,AA7344,AAL7344,,qantas,qf,qfa,827,qf827,qfa827,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,9,,2026-07-18T01:10:00+00:00,2026-07-18T01:10:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-07-18T05:25:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7026,NZ7026,ANZ7026,,qantas,qf,qfa,827,qf827,qfa827,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,9,,2026-07-18T01:10:00+00:00,2026-07-18T01:10:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-07-18T05:25:00+00:00,,,,,,Cathay Pacific,CX,CPA,9144,CX9144,CPA9144,,qantas,qf,qfa,827,qf827,qfa827,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,9,,2026-07-18T01:10:00+00:00,2026-07-18T01:10:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-07-18T05:25:00+00:00,,,,,,Emirates,EK,UAE,5203,EK5203,UAE5203,,qantas,qf,qfa,827,qf827,qfa827,,,,
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T00:40:00+00:00,2026-07-18T00:40:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,4,,2026-07-18T05:20:00+00:00,,,,,,Virgin Australia,VA,VOZ,1456,VA1456,VOZ1456,,,,,,,,,,,7C7BC7
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T00:40:00+00:00,2026-07-18T00:40:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,4,,2026-07-18T05:20:00+00:00,,,,,,United Airlines,UA,UAL,7389,UA7389,UAL7389,,virgin australia,va,voz,1456,va1456,voz1456,,,,7C7BC7
2026-07-18,scheduled,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-07-18T00:40:00+00:00,2026-07-18T00:40:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,4,,2026-07-18T05:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6573,SQ6573,SIA6573,,virgin australia,va,voz,1456,va1456,voz1456,,,,7C7BC7
